"","REF_DATE","GEO","Violations","Statistics","VALUE","UOM"
"4568",2001,"New Brunswick","Total Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4569",2001,"New Brunswick","Total Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4570",2001,"New Brunswick","Total possession - Cannabis Act","Actual incidents",NA,"Number"
"4571",2001,"New Brunswick","Total possession - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4572",2001,"New Brunswick","Total possession - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4573",2001,"New Brunswick","Total distribution - Cannabis Act","Actual incidents",NA,"Number"
"4574",2001,"New Brunswick","Total distribution - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4575",2001,"New Brunswick","Total distribution - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4576",2001,"New Brunswick","Total sale - Cannabis Act","Actual incidents",NA,"Number"
"4577",2001,"New Brunswick","Total sale - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4578",2001,"New Brunswick","Total sale - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4579",2001,"New Brunswick","Total importation and exportation - Cannabis Act","Actual incidents",NA,"Number"
"4580",2001,"New Brunswick","Total importation and exportation - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4581",2001,"New Brunswick","Total importation and exportation - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4582",2001,"New Brunswick","Total production - Cannabis Act","Actual incidents",NA,"Number"
"4583",2001,"New Brunswick","Total production - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4584",2001,"New Brunswick","Total production - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4585",2001,"New Brunswick","Total other Federal Statutes","Actual incidents",931,"Number"
"4586",2001,"New Brunswick","Total other Federal Statutes","Rate per 100,000 population",124.17,"Rate"
"4587",2001,"New Brunswick","Total other Federal Statutes","Percentage contribution to the Crime Severity Index (CSI)",1.06,"Percent"
"4588",2001,"New Brunswick","Total Immigration and Refugee Protection Act","Actual incidents",48,"Number"
"4589",2001,"New Brunswick","Total Immigration and Refugee Protection Act","Rate per 100,000 population",6.4,"Rate"
"4590",2001,"New Brunswick","Total Immigration and Refugee Protection Act","Percentage contribution to the Crime Severity Index (CSI)",0.06,"Percent"
"4591",2001,"Quebec","Total, all violations","Actual incidents",469784,"Number"
"4592",2001,"Quebec","Total, all violations","Rate per 100,000 population",6351.58,"Rate"
"4593",2001,"Quebec","Total, all violations","Percentage contribution to the Crime Severity Index (CSI)",100,"Percent"
"4594",2001,"Quebec","Total, all Criminal Code violations (including traffic)","Actual incidents",447434,"Number"
"4595",2001,"Quebec","Total, all Criminal Code violations (including traffic)","Rate per 100,000 population",6049.4,"Rate"
"4596",2001,"Quebec","Total, all Criminal Code violations (including traffic)","Percentage contribution to the Crime Severity Index (CSI)",98.32,"Percent"
"4597",2001,"Quebec","Total, all Criminal Code violations (excluding traffic)","Actual incidents",420743,"Number"
"4598",2001,"Quebec","Total, all Criminal Code violations (excluding traffic)","Rate per 100,000 population",5688.54,"Rate"
"4599",2001,"Quebec","Total, all Criminal Code violations (excluding traffic)","Percentage contribution to the Crime Severity Index (CSI)",96.18,"Percent"
"4600",2001,"Quebec","Total violent Criminal Code violations","Actual incidents",76525,"Number"
"4601",2001,"Quebec","Total violent Criminal Code violations","Rate per 100,000 population",1034.63,"Rate"
"4602",2001,"Quebec","Total violent Criminal Code violations","Percentage contribution to the Crime Severity Index (CSI)",25.73,"Percent"
"4603",2001,"Quebec","Total other violations causing death","Actual incidents",14,"Number"
"4604",2001,"Quebec","Total other violations causing death","Rate per 100,000 population",0.19,"Rate"
"4605",2001,"Quebec","Total other violations causing death","Percentage contribution to the Crime Severity Index (CSI)",0.02,"Percent"
"4606",2001,"Quebec","Total sexual violations against children","Actual incidents",0,"Number"
"4607",2001,"Quebec","Total sexual violations against children","Rate per 100,000 population",0,"Rate"
"4608",2001,"Quebec","Total sexual violations against children","Percentage contribution to the Crime Severity Index (CSI)",0,"Percent"
"4609",2001,"Quebec","Total assaults against a peace officer","Actual incidents",2589,"Number"
"4610",2001,"Quebec","Total assaults against a peace officer","Rate per 100,000 population",35,"Rate"
"4611",2001,"Quebec","Total assaults against a peace officer","Percentage contribution to the Crime Severity Index (CSI)",0.27,"Percent"
"4612",2001,"Quebec","Total other assaults","Actual incidents",637,"Number"
"4613",2001,"Quebec","Total other assaults","Rate per 100,000 population",8.61,"Rate"
"4614",2001,"Quebec","Total other assaults","Percentage contribution to the Crime Severity Index (CSI)",0.19,"Percent"
"4615",2001,"Quebec","Total firearms, use of, discharge, pointing","Actual incidents",259,"Number"
"4616",2001,"Quebec","Total firearms, use of, discharge, pointing","Rate per 100,000 population",3.5,"Rate"
"4617",2001,"Quebec","Total firearms, use of, discharge, pointing","Percentage contribution to the Crime Severity Index (CSI)",0.19,"Percent"
"4618",2001,"Quebec","Total robbery","Actual incidents",7985,"Number"
"4619",2001,"Quebec","Total robbery","Rate per 100,000 population",107.96,"Rate"
"4620",2001,"Quebec","Total robbery","Percentage contribution to the Crime Severity Index (CSI)",11.71,"Percent"
"4621",2001,"Quebec","Total forcible confinement or kidnapping","Actual incidents",880,"Number"
"4622",2001,"Quebec","Total forcible confinement or kidnapping","Rate per 100,000 population",11.9,"Rate"
"4623",2001,"Quebec","Total forcible confinement or kidnapping","Percentage contribution to the Crime Severity Index (CSI)",1.06,"Percent"
"4624",2001,"Quebec","Total abduction","Actual incidents",119,"Number"
"4625",2001,"Quebec","Total abduction","Rate per 100,000 population",1.61,"Rate"
"4626",2001,"Quebec","Total abduction","Percentage contribution to the Crime Severity Index (CSI)",0.03,"Percent"
"4627",2001,"Quebec","Total offences in relation to sexual services","Actual incidents",NA,"Number"
"4628",2001,"Quebec","Total offences in relation to sexual services","Rate per 100,000 population",NA,"Rate"
"4629",2001,"Quebec","Total offences in relation to sexual services","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4630",2001,"Quebec","Total other violent violations","Actual incidents",1132,"Number"
"4631",2001,"Quebec","Total other violent violations","Rate per 100,000 population",15.3,"Rate"
"4632",2001,"Quebec","Total other violent violations","Percentage contribution to the Crime Severity Index (CSI)",0.85,"Percent"
"4633",2001,"Quebec","Total property crime violations","Actual incidents",315384,"Number"
"4634",2001,"Quebec","Total property crime violations","Rate per 100,000 population",4264.06,"Rate"
"4635",2001,"Quebec","Total property crime violations","Percentage contribution to the Crime Severity Index (CSI)",67.59,"Percent"
"4636",2001,"Quebec","Total breaking and entering","Actual incidents",73939,"Number"
"4637",2001,"Quebec","Total breaking and entering","Rate per 100,000 population",999.67,"Rate"
"4638",2001,"Quebec","Total breaking and entering","Percentage contribution to the Crime Severity Index (CSI)",34.76,"Percent"
"4639",2001,"Quebec","Total possession of stolen property","Actual incidents",3035,"Number"
"4640",2001,"Quebec","Total possession of stolen property","Rate per 100,000 population",41.03,"Rate"
"4641",2001,"Quebec","Total possession of stolen property","Percentage contribution to the Crime Severity Index (CSI)",0.59,"Percent"
"4642",2001,"Quebec","Total trafficking in stolen property","Actual incidents",0,"Number"
"4643",2001,"Quebec","Total trafficking in stolen property","Rate per 100,000 population",0,"Rate"
"4644",2001,"Quebec","Total trafficking in stolen property","Percentage contribution to the Crime Severity Index (CSI)",0,"Percent"
"4645",2001,"Quebec","Total theft of motor vehicle","Actual incidents",41212,"Number"
"4646",2001,"Quebec","Total theft of motor vehicle","Rate per 100,000 population",557.2,"Rate"
"4647",2001,"Quebec","Total theft of motor vehicle","Percentage contribution to the Crime Severity Index (CSI)",8.75,"Percent"
"4648",2001,"Quebec","Total theft over $5,000 (non-motor vehicle)","Actual incidents",6498,"Number"
"4649",2001,"Quebec","Total theft over $5,000 (non-motor vehicle)","Rate per 100,000 population",87.85,"Rate"
"4650",2001,"Quebec","Total theft over $5,000 (non-motor vehicle)","Percentage contribution to the Crime Severity Index (CSI)",2.28,"Percent"
"4651",2001,"Quebec","Total theft under $5,000 (non-motor vehicle)","Actual incidents",117104,"Number"
"4652",2001,"Quebec","Total theft under $5,000 (non-motor vehicle)","Rate per 100,000 population",1583.27,"Rate"
"4653",2001,"Quebec","Total theft under $5,000 (non-motor vehicle)","Percentage contribution to the Crime Severity Index (CSI)",11.02,"Percent"
"4654",2001,"Quebec","Total mischief","Actual incidents",51909,"Number"
"4655",2001,"Quebec","Total mischief","Rate per 100,000 population",701.82,"Rate"
"4656",2001,"Quebec","Total mischief","Percentage contribution to the Crime Severity Index (CSI)",3.88,"Percent"
"4657",2001,"Quebec","Total other Criminal Code violations","Actual incidents",28834,"Number"
"4658",2001,"Quebec","Total other Criminal Code violations","Rate per 100,000 population",389.84,"Rate"
"4659",2001,"Quebec","Total other Criminal Code violations","Percentage contribution to the Crime Severity Index (CSI)",2.86,"Percent"
"4660",2001,"Quebec","Total weapons violations","Actual incidents",948,"Number"
"4661",2001,"Quebec","Total weapons violations","Rate per 100,000 population",12.82,"Rate"
"4662",2001,"Quebec","Total weapons violations","Percentage contribution to the Crime Severity Index (CSI)",0.2,"Percent"
"4663",2001,"Quebec","Total prostitution","Actual incidents",682,"Number"
"4664",2001,"Quebec","Total prostitution","Rate per 100,000 population",9.22,"Rate"
"4665",2001,"Quebec","Total prostitution","Percentage contribution to the Crime Severity Index (CSI)",0.05,"Percent"
"4666",2001,"Quebec","Total administration of justice violations","Actual incidents",21408,"Number"
"4667",2001,"Quebec","Total administration of justice violations","Rate per 100,000 population",289.44,"Rate"
"4668",2001,"Quebec","Total administration of justice violations","Percentage contribution to the Crime Severity Index (CSI)",1.7,"Percent"
"4669",2001,"Quebec","Total other violations","Actual incidents",4821,"Number"
"4670",2001,"Quebec","Total other violations","Rate per 100,000 population",65.18,"Rate"
"4671",2001,"Quebec","Total other violations","Percentage contribution to the Crime Severity Index (CSI)",0.81,"Percent"
"4672",2001,"Quebec","Total Criminal Code traffic violations","Actual incidents",26691,"Number"
"4673",2001,"Quebec","Total Criminal Code traffic violations","Rate per 100,000 population",360.87,"Rate"
"4674",2001,"Quebec","Total Criminal Code traffic violations","Percentage contribution to the Crime Severity Index (CSI)",2.14,"Percent"
"4675",2001,"Quebec","Total impaired driving","Actual incidents",19012,"Number"
"4676",2001,"Quebec","Total impaired driving","Rate per 100,000 population",257.05,"Rate"
"4677",2001,"Quebec","Total impaired driving","Percentage contribution to the Crime Severity Index (CSI)",0.86,"Percent"
"4678",2001,"Quebec","Total other Criminal Code traffic violations","Actual incidents",7679,"Number"
"4679",2001,"Quebec","Total other Criminal Code traffic violations","Rate per 100,000 population",103.82,"Rate"
"4680",2001,"Quebec","Total other Criminal Code traffic violations","Percentage contribution to the Crime Severity Index (CSI)",1.28,"Percent"
"4681",2001,"Quebec","Total fail to stop or remain","Actual incidents",5809,"Number"
"4682",2001,"Quebec","Total fail to stop or remain","Rate per 100,000 population",78.54,"Rate"
"4683",2001,"Quebec","Total fail to stop or remain","Percentage contribution to the Crime Severity Index (CSI)",0.9,"Percent"
"4684",2001,"Quebec","Total Federal Statute violations","Actual incidents",22350,"Number"
"4685",2001,"Quebec","Total Federal Statute violations","Rate per 100,000 population",302.18,"Rate"
"4686",2001,"Quebec","Total Federal Statute violations","Percentage contribution to the Crime Severity Index (CSI)",1.68,"Percent"
"4687",2001,"Quebec","Total drug violations","Actual incidents",19109,"Number"
"4688",2001,"Quebec","Total drug violations","Rate per 100,000 population",258.36,"Rate"
"4689",2001,"Quebec","Total drug violations","Percentage contribution to the Crime Severity Index (CSI)",1.35,"Percent"
"4690",2001,"Quebec","Total, possession, other Controlled Drugs and Substances Act drugs","Actual incidents",917,"Number"
"4691",2001,"Quebec","Total, possession, other Controlled Drugs and Substances Act drugs","Rate per 100,000 population",12.4,"Rate"
"4692",2001,"Quebec","Total, possession, other Controlled Drugs and Substances Act drugs","Percentage contribution to the Crime Severity Index (CSI)",0.03,"Percent"
"4693",2001,"Quebec","Total cannabis, trafficking, production or distribution (pre-legalization)","Actual incidents",5787,"Number"
"4694",2001,"Quebec","Total cannabis, trafficking, production or distribution (pre-legalization)","Rate per 100,000 population",78.24,"Rate"
"4695",2001,"Quebec","Total cannabis, trafficking, production or distribution (pre-legalization)","Percentage contribution to the Crime Severity Index (CSI)",0.48,"Percent"
"4696",2001,"Quebec","Total cocaine, trafficking, production or distribution","Actual incidents",1243,"Number"
"4697",2001,"Quebec","Total cocaine, trafficking, production or distribution","Rate per 100,000 population",16.81,"Rate"
"4698",2001,"Quebec","Total cocaine, trafficking, production or distribution","Percentage contribution to the Crime Severity Index (CSI)",0.42,"Percent"
"4699",2001,"Quebec","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Actual incidents",760,"Number"
"4700",2001,"Quebec","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Rate per 100,000 population",10.28,"Rate"
"4701",2001,"Quebec","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Percentage contribution to the Crime Severity Index (CSI)",0.25,"Percent"
"4702",2001,"Quebec","Total Cannabis Act","Actual incidents",NA,"Number"
"4703",2001,"Quebec","Total Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4704",2001,"Quebec","Total Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4705",2001,"Quebec","Total possession - Cannabis Act","Actual incidents",NA,"Number"
"4706",2001,"Quebec","Total possession - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4707",2001,"Quebec","Total possession - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4708",2001,"Quebec","Total distribution - Cannabis Act","Actual incidents",NA,"Number"
"4709",2001,"Quebec","Total distribution - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4710",2001,"Quebec","Total distribution - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4711",2001,"Quebec","Total sale - Cannabis Act","Actual incidents",NA,"Number"
"4712",2001,"Quebec","Total sale - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4713",2001,"Quebec","Total sale - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4714",2001,"Quebec","Total importation and exportation - Cannabis Act","Actual incidents",NA,"Number"
"4715",2001,"Quebec","Total importation and exportation - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4716",2001,"Quebec","Total importation and exportation - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4717",2001,"Quebec","Total production - Cannabis Act","Actual incidents",NA,"Number"
"4718",2001,"Quebec","Total production - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4719",2001,"Quebec","Total production - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4720",2001,"Quebec","Total other Federal Statutes","Actual incidents",1925,"Number"
"4721",2001,"Quebec","Total other Federal Statutes","Rate per 100,000 population",26.03,"Rate"
"4722",2001,"Quebec","Total other Federal Statutes","Percentage contribution to the Crime Severity Index (CSI)",0.25,"Percent"
"4723",2001,"Quebec","Total Immigration and Refugee Protection Act","Actual incidents",402,"Number"
"4724",2001,"Quebec","Total Immigration and Refugee Protection Act","Rate per 100,000 population",5.44,"Rate"
"4725",2001,"Quebec","Total Immigration and Refugee Protection Act","Percentage contribution to the Crime Severity Index (CSI)",0.04,"Percent"
"4726",2001,"Ontario","Total, all violations","Actual incidents",810524,"Number"
"4727",2001,"Ontario","Total, all violations","Rate per 100,000 population",6813.04,"Rate"
"4728",2001,"Ontario","Total, all violations","Percentage contribution to the Crime Severity Index (CSI)",100,"Percent"
"4729",2001,"Ontario","Total, all Criminal Code violations (including traffic)","Actual incidents",772586,"Number"
"4730",2001,"Ontario","Total, all Criminal Code violations (including traffic)","Rate per 100,000 population",6494.14,"Rate"
"4731",2001,"Ontario","Total, all Criminal Code violations (including traffic)","Percentage contribution to the Crime Severity Index (CSI)",97.97,"Percent"
"4732",2001,"Ontario","Total, all Criminal Code violations (excluding traffic)","Actual incidents",734729,"Number"
"4733",2001,"Ontario","Total, all Criminal Code violations (excluding traffic)","Rate per 100,000 population",6175.93,"Rate"
"4734",2001,"Ontario","Total, all Criminal Code violations (excluding traffic)","Percentage contribution to the Crime Severity Index (CSI)",95.4,"Percent"
"4735",2001,"Ontario","Total violent Criminal Code violations","Actual incidents",154490,"Number"
"4736",2001,"Ontario","Total violent Criminal Code violations","Rate per 100,000 population",1298.6,"Rate"
"4737",2001,"Ontario","Total violent Criminal Code violations","Percentage contribution to the Crime Severity Index (CSI)",27.21,"Percent"
"4738",2001,"Ontario","Total other violations causing death","Actual incidents",56,"Number"
"4739",2001,"Ontario","Total other violations causing death","Rate per 100,000 population",0.47,"Rate"
"4740",2001,"Ontario","Total other violations causing death","Percentage contribution to the Crime Severity Index (CSI)",0.07,"Percent"
"4741",2001,"Ontario","Total sexual violations against children","Actual incidents",0,"Number"
"4742",2001,"Ontario","Total sexual violations against children","Rate per 100,000 population",0,"Rate"
"4743",2001,"Ontario","Total sexual violations against children","Percentage contribution to the Crime Severity Index (CSI)",0,"Percent"
"4744",2001,"Ontario","Total assaults against a peace officer","Actual incidents",2336,"Number"
"4745",2001,"Ontario","Total assaults against a peace officer","Rate per 100,000 population",19.64,"Rate"
"4746",2001,"Ontario","Total assaults against a peace officer","Percentage contribution to the Crime Severity Index (CSI)",0.17,"Percent"
"4747",2001,"Ontario","Total other assaults","Actual incidents",2004,"Number"
"4748",2001,"Ontario","Total other assaults","Rate per 100,000 population",16.85,"Rate"
"4749",2001,"Ontario","Total other assaults","Percentage contribution to the Crime Severity Index (CSI)",0.34,"Percent"
"4750",2001,"Ontario","Total firearms, use of, discharge, pointing","Actual incidents",780,"Number"
"4751",2001,"Ontario","Total firearms, use of, discharge, pointing","Rate per 100,000 population",6.56,"Rate"
"4752",2001,"Ontario","Total firearms, use of, discharge, pointing","Percentage contribution to the Crime Severity Index (CSI)",0.35,"Percent"
"4753",2001,"Ontario","Total robbery","Actual incidents",10198,"Number"
"4754",2001,"Ontario","Total robbery","Rate per 100,000 population",85.72,"Rate"
"4755",2001,"Ontario","Total robbery","Percentage contribution to the Crime Severity Index (CSI)",10.38,"Percent"
"4756",2001,"Ontario","Total forcible confinement or kidnapping","Actual incidents",903,"Number"
"4757",2001,"Ontario","Total forcible confinement or kidnapping","Rate per 100,000 population",7.59,"Rate"
"4758",2001,"Ontario","Total forcible confinement or kidnapping","Percentage contribution to the Crime Severity Index (CSI)",0.75,"Percent"
"4759",2001,"Ontario","Total abduction","Actual incidents",232,"Number"
"4760",2001,"Ontario","Total abduction","Rate per 100,000 population",1.95,"Rate"
"4761",2001,"Ontario","Total abduction","Percentage contribution to the Crime Severity Index (CSI)",0.04,"Percent"
"4762",2001,"Ontario","Total offences in relation to sexual services","Actual incidents",NA,"Number"
"4763",2001,"Ontario","Total offences in relation to sexual services","Rate per 100,000 population",NA,"Rate"
"4764",2001,"Ontario","Total offences in relation to sexual services","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4765",2001,"Ontario","Total other violent violations","Actual incidents",995,"Number"
"4766",2001,"Ontario","Total other violent violations","Rate per 100,000 population",8.36,"Rate"
"4767",2001,"Ontario","Total other violent violations","Percentage contribution to the Crime Severity Index (CSI)",0.47,"Percent"
"4768",2001,"Ontario","Total property crime violations","Actual incidents",490770,"Number"
"4769",2001,"Ontario","Total property crime violations","Rate per 100,000 population",4125.27,"Rate"
"4770",2001,"Ontario","Total property crime violations","Percentage contribution to the Crime Severity Index (CSI)",62.79,"Percent"
"4771",2001,"Ontario","Total breaking and entering","Actual incidents",82348,"Number"
"4772",2001,"Ontario","Total breaking and entering","Rate per 100,000 population",692.19,"Rate"
"4773",2001,"Ontario","Total breaking and entering","Percentage contribution to the Crime Severity Index (CSI)",26.87,"Percent"
"4774",2001,"Ontario","Total possession of stolen property","Actual incidents",9968,"Number"
"4775",2001,"Ontario","Total possession of stolen property","Rate per 100,000 population",83.79,"Rate"
"4776",2001,"Ontario","Total possession of stolen property","Percentage contribution to the Crime Severity Index (CSI)",1.34,"Percent"
"4777",2001,"Ontario","Total trafficking in stolen property","Actual incidents",0,"Number"
"4778",2001,"Ontario","Total trafficking in stolen property","Rate per 100,000 population",0,"Rate"
"4779",2001,"Ontario","Total trafficking in stolen property","Percentage contribution to the Crime Severity Index (CSI)",0,"Percent"
"4780",2001,"Ontario","Total theft of motor vehicle","Actual incidents",49331,"Number"
"4781",2001,"Ontario","Total theft of motor vehicle","Rate per 100,000 population",414.66,"Rate"
"4782",2001,"Ontario","Total theft of motor vehicle","Percentage contribution to the Crime Severity Index (CSI)",7.27,"Percent"
"4783",2001,"Ontario","Total theft over $5,000 (non-motor vehicle)","Actual incidents",8144,"Number"
"4784",2001,"Ontario","Total theft over $5,000 (non-motor vehicle)","Rate per 100,000 population",68.46,"Rate"
"4785",2001,"Ontario","Total theft over $5,000 (non-motor vehicle)","Percentage contribution to the Crime Severity Index (CSI)",1.98,"Percent"
"4786",2001,"Ontario","Total theft under $5,000 (non-motor vehicle)","Actual incidents",208684,"Number"
"4787",2001,"Ontario","Total theft under $5,000 (non-motor vehicle)","Rate per 100,000 population",1754.14,"Rate"
"4788",2001,"Ontario","Total theft under $5,000 (non-motor vehicle)","Percentage contribution to the Crime Severity Index (CSI)",13.62,"Percent"
"4789",2001,"Ontario","Total mischief","Actual incidents",98687,"Number"
"4790",2001,"Ontario","Total mischief","Rate per 100,000 population",829.54,"Rate"
"4791",2001,"Ontario","Total mischief","Percentage contribution to the Crime Severity Index (CSI)",5.12,"Percent"
"4792",2001,"Ontario","Total other Criminal Code violations","Actual incidents",89469,"Number"
"4793",2001,"Ontario","Total other Criminal Code violations","Rate per 100,000 population",752.05,"Rate"
"4794",2001,"Ontario","Total other Criminal Code violations","Percentage contribution to the Crime Severity Index (CSI)",5.39,"Percent"
"4795",2001,"Ontario","Total weapons violations","Actual incidents",4523,"Number"
"4796",2001,"Ontario","Total weapons violations","Rate per 100,000 population",38.02,"Rate"
"4797",2001,"Ontario","Total weapons violations","Percentage contribution to the Crime Severity Index (CSI)",0.74,"Percent"
"4798",2001,"Ontario","Total prostitution","Actual incidents",1548,"Number"
"4799",2001,"Ontario","Total prostitution","Rate per 100,000 population",13.01,"Rate"
"4800",2001,"Ontario","Total prostitution","Percentage contribution to the Crime Severity Index (CSI)",0.05,"Percent"
"4801",2001,"Ontario","Total administration of justice violations","Actual incidents",52346,"Number"
"4802",2001,"Ontario","Total administration of justice violations","Rate per 100,000 population",440.01,"Rate"
"4803",2001,"Ontario","Total administration of justice violations","Percentage contribution to the Crime Severity Index (CSI)",2.49,"Percent"
"4804",2001,"Ontario","Total other violations","Actual incidents",14178,"Number"
"4805",2001,"Ontario","Total other violations","Rate per 100,000 population",119.18,"Rate"
"4806",2001,"Ontario","Total other violations","Percentage contribution to the Crime Severity Index (CSI)",1.72,"Percent"
"4807",2001,"Ontario","Total Criminal Code traffic violations","Actual incidents",37857,"Number"
"4808",2001,"Ontario","Total Criminal Code traffic violations","Rate per 100,000 population",318.22,"Rate"
"4809",2001,"Ontario","Total Criminal Code traffic violations","Percentage contribution to the Crime Severity Index (CSI)",2.58,"Percent"
"4810",2001,"Ontario","Total impaired driving","Actual incidents",21480,"Number"
"4811",2001,"Ontario","Total impaired driving","Rate per 100,000 population",180.55,"Rate"
"4812",2001,"Ontario","Total impaired driving","Percentage contribution to the Crime Severity Index (CSI)",0.62,"Percent"
"4813",2001,"Ontario","Total other Criminal Code traffic violations","Actual incidents",16377,"Number"
"4814",2001,"Ontario","Total other Criminal Code traffic violations","Rate per 100,000 population",137.66,"Rate"
"4815",2001,"Ontario","Total other Criminal Code traffic violations","Percentage contribution to the Crime Severity Index (CSI)",1.96,"Percent"
"4816",2001,"Ontario","Total fail to stop or remain","Actual incidents",11246,"Number"
"4817",2001,"Ontario","Total fail to stop or remain","Rate per 100,000 population",94.53,"Rate"
"4818",2001,"Ontario","Total fail to stop or remain","Percentage contribution to the Crime Severity Index (CSI)",1.21,"Percent"
"4819",2001,"Ontario","Total Federal Statute violations","Actual incidents",37938,"Number"
"4820",2001,"Ontario","Total Federal Statute violations","Rate per 100,000 population",318.9,"Rate"
"4821",2001,"Ontario","Total Federal Statute violations","Percentage contribution to the Crime Severity Index (CSI)",2.03,"Percent"
"4822",2001,"Ontario","Total drug violations","Actual incidents",28147,"Number"
"4823",2001,"Ontario","Total drug violations","Rate per 100,000 population",236.6,"Rate"
"4824",2001,"Ontario","Total drug violations","Percentage contribution to the Crime Severity Index (CSI)",1.42,"Percent"
"4825",2001,"Ontario","Total, possession, other Controlled Drugs and Substances Act drugs","Actual incidents",1799,"Number"
"4826",2001,"Ontario","Total, possession, other Controlled Drugs and Substances Act drugs","Rate per 100,000 population",15.12,"Rate"
"4827",2001,"Ontario","Total, possession, other Controlled Drugs and Substances Act drugs","Percentage contribution to the Crime Severity Index (CSI)",0.03,"Percent"
"4828",2001,"Ontario","Total cannabis, trafficking, production or distribution (pre-legalization)","Actual incidents",4270,"Number"
"4829",2001,"Ontario","Total cannabis, trafficking, production or distribution (pre-legalization)","Rate per 100,000 population",35.89,"Rate"
"4830",2001,"Ontario","Total cannabis, trafficking, production or distribution (pre-legalization)","Percentage contribution to the Crime Severity Index (CSI)",0.37,"Percent"
"4831",2001,"Ontario","Total cocaine, trafficking, production or distribution","Actual incidents",1907,"Number"
"4832",2001,"Ontario","Total cocaine, trafficking, production or distribution","Rate per 100,000 population",16.03,"Rate"
"4833",2001,"Ontario","Total cocaine, trafficking, production or distribution","Percentage contribution to the Crime Severity Index (CSI)",0.43,"Percent"
"4834",2001,"Ontario","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Actual incidents",1811,"Number"
"4835",2001,"Ontario","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Rate per 100,000 population",15.22,"Rate"
"4836",2001,"Ontario","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Percentage contribution to the Crime Severity Index (CSI)",0.36,"Percent"
"4837",2001,"Ontario","Total Cannabis Act","Actual incidents",NA,"Number"
"4838",2001,"Ontario","Total Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4839",2001,"Ontario","Total Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4840",2001,"Ontario","Total possession - Cannabis Act","Actual incidents",NA,"Number"
"4841",2001,"Ontario","Total possession - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4842",2001,"Ontario","Total possession - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4843",2001,"Ontario","Total distribution - Cannabis Act","Actual incidents",NA,"Number"
"4844",2001,"Ontario","Total distribution - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4845",2001,"Ontario","Total distribution - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4846",2001,"Ontario","Total sale - Cannabis Act","Actual incidents",NA,"Number"
"4847",2001,"Ontario","Total sale - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4848",2001,"Ontario","Total sale - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4849",2001,"Ontario","Total importation and exportation - Cannabis Act","Actual incidents",NA,"Number"
"4850",2001,"Ontario","Total importation and exportation - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"4851",2001,"Ontario","Total importation and exportation - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"4852",2001,"Ontario","Total production - Cannabis Act","Actual incidents",NA,"Number"
"4853",2001,"Ontario","Total production - Cannabis Act","Rate per 100,000 population",NA,"Rate"
